Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key,Simplified_Indication
durvalumab,Imfinzi,1/15/20,Treatment of hepatocellular carcinoma,Designated/Approved,,,In combination with tremelimumab-actl for the treatment of adult patients with unresectable hepatocellular carcinoma (uHCC),10/21/22,10/21/29,treatment of adult patients with unresectable hepatocellular carcinoma (uHCC),AstraZeneca Pharmaceuticals LP,1800 Concord Pike,,Wilmington,Delaware,19803 ',United States,721519,In combination with tremelimumab-actl For adult patients with unresectable hepatocellular carcinoma (uHCC)
durvalumab,IMFINZI,7/10/19,Treatment of small cell lung cancer,Designated/Approved,,,"IMFINZI is indicated for use, in combination with etoposide and either carboplatin or cisplatin, for the first-line treatment of adult patients with extensive-stage small cell lung cancer (ES-SCLC).",3/27/20,3/27/27,"Indicated in combination with etoposide and either carboplatin or cisplatin, for the first-line treatment of adult patients with extensive-stage small cell lung cancer (ES-SCLC).",AstraZeneca Pharmaceuticals LP,1800 Concord Pike,,Wilmington,Delaware,19803 ',United States,691319,"IMFINZI is For use, In combination with etoposide and either carboplatin or cisplatin, for the first-line For adult patients with extensive-stage small cell lung cancer (ES-SCLC)."
durvalumab,Imfinzi,12/10/20,Treatment of biliary tract cancer,Designated/Approved,,,"In combination with gemcitabine and cisplatin, for the treatment of adult patients with locally advanced or metastatic biliary tract cancer (BTC)",9/2/22,9/2/29,treatment of adult patients with locally advanced or metastatic biliary tract cancer (BTC),AstraZeneca Pharmaceuticals LP,1800 Concord Pike,,Wilmington,Delaware,19803 ',United States,785220,"In combination with gemcitabine and cisplatin, For adult patients with locally advanced or metastatic biliary tract cancer (BTC)"
durvalumab,Imfinzi,7/10/19,Treatment of small cell lung cancer,Designated/Approved,,,"as a single agent, for the treatment of adult patients with limited-stage small cell lung cancer (LS-SCLC) whose disease has not progressed following concurrent platinum-based chemotherapy and radiation therapy (cCRT)",12/4/24,12/4/31,treatment of adult patients with limited-stage small cell lung cancer (LS-SCLC) whose disease has not progressed following concurrent platinum-based chemotherapy and radiation therapy (cCRT),AstraZeneca Pharmaceuticals LP,1800 Concord Pike,,Wilmington,Delaware,19803 ',United States,691319,"as a single agent, For adult patients with limited-stage small cell lung cancer (LS-SCLC) whose disease has not progressed following concurrent platinum-based chemotherapy and radiation therapy (cCRT)"
duvelisib,COPIKTRA,4/15/13,Treatment of chronic lymphocytic leukemia and small lymphocytic lymphoma,Designated/Approved,,,Treatment of adult patients with relapsed or refractory chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL) after at least two prior therapies,9/24/18,9/24/25,Treatment of adult patients with relapsed or refractory chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL) after at least two prior therapies,"Secura Bio, Inc.",1995 Village Center Cir.,,Las Vegas,Nevada,89134-6360 ',United States,394413,For adult patients with relapsed or refractory chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL) after at least two prior therapies
duvelisib,COPIKTRA,8/1/13,Treatment of follicular lymphoma,Designated/Approved,,,Treatment of adult patients with relapsed or refractory follicular lymphoma after at least two prior therapies (Indication withdrawn),9/24/18,12/17/21,Treatment of adult patients with relapsed or refractory follicular lymphoma after at least two prior therapies (Indication withdrawn),"Secura Bio, Inc.",1995 Village Center Cir.,Suite 128,Las Vegas,Nevada,89134-6360 ',United States,399913,For adult patients with relapsed or refractory follicular lymphoma after at least two prior therapies (Indication withdrawn)
ecallantide,Kalbitor,2/4/03,Treatment of angioedema,Designated/Approved,,,Treatment of acute attacks of hereditary angioedema in patients 16 years of age and older,12/1/09,12/1/16,,"Takeda Pharmaceuticals U.S.A., Inc.",500 Kendall Street,,Cambridge,Massachusetts,02142 ',United States,160802,For acute attacks of hereditary angioedema in patients 16 years of age and older
ecallantide,Kalbitor,2/4/03,Treatment of angioedema,Designated/Approved,,,Treatment of acute attacks of hereditary angioedema (HAE) in patients 12 years of age and older,3/28/14,3/28/21,Treatment of acute attacks of hereditary angioedema (HAE) in patients 12 through 15 years of age.,"Takeda Pharmaceuticals U.S.A., Inc.",500 Kendall Street,,Cambridge,Massachusetts,02142 ',United States,160802,For acute attacks of hereditary angioedema (HAE) in patients 12 years of age and older
eculizumab,Soliris,6/12/14,Treatment of Myasthenia Gravis,Designated/Approved,,,treatment of generalized myasthenia gravis (gMG) in adult and pediatric patients six years of age and older who are anti-acetylcholine receptor (AChR) antibody positive,2/28/25,,,"Alexion Pharmaceuticals, Inc.",121 Seaport Boulevard,,Boston,Massachusetts,02210 ',United States,434214,For generalized myasthenia gravis (gMG) in adult and pediatric patients six years of age and older who are anti-acetylcholine receptor (AChR) antibody positive
eculizumab,Soliris,8/20/03,Treatment of paroxysmal nocturnal hemoglobinuria,Designated/Approved,,,Treatment of paroxysmal nocturnal hemoglobinuria to reduce hemolysis,3/16/07,3/16/14,,"Alexion Pharmaceuticals, Inc.",121 Seaport Boulevard,,Boston,Massachusetts,02210 ',United States,173203,For paroxysmal nocturnal hemoglobinuria to reduce hemolysis
eculizumab,Soliris,6/12/14,Treatment of Myasthenia Gravis,Designated/Approved,,,for the treatment of adult patients with generalized Myasthenia Gravis (gMG) who are anti-acetylcholine receptor (AchR) antibody positive,10/23/17,10/23/24,for the treatment of adult patients with generalized Myasthenia Gravis (gMG) who are anti-acetylcholine receptor (AchR) antibody positive,"Alexion Pharmaceuticals, Inc.",121 Seaport Boulevard,,Boston,Massachusetts,02210 ',United States,434214,For adult patients with generalized Myasthenia Gravis (gMG) who are anti-acetylcholine receptor (AchR) antibody positive
eculizumab,Soliris,4/29/09,Treatment of atypical hemolytic uremic syndrome,Designated/Approved,,,For the treatment of atypical Hemolytic Uremic Syndrome (aHUS),9/23/11,9/23/18,,"Alexion Pharmaceuticals, Inc.",121 Seaport Boulevard,,Boston,Massachusetts,02210 ',United States,279509,For atypical Hemolytic Uremic Syndrome (aHUS)
eculizumab,Soliris,6/24/13,Treatment of neuromyelitis optica,Designated/Approved,,,Soliris is indicated for the treatment of neuromyelitis optica spectrum disorder (NMOSD) in adult patients who are anti-aquaporin-4 (AQP4) antibody positive.,6/27/19,6/27/26,For the treatment of neuromyelitis optica spectrum disorder (NMOSD) in adult patients who are anti-aquaporin-4 (AQP4) antibody positive,"Alexion Pharmaceuticals, Inc.",121 Seaport Boulevard,,Boston,Massachusetts,02210 ',United States,398713,Soliris is For neuromyelitis optica spectrum disorder (NMOSD) in adult patients who are anti-aquaporin-4 (AQP4) antibody positive.
edaravone,Radicava,5/12/15,Treatment of amyotrophic lateral sclerosis,Designated/Approved,,,Treatment of amyotrophic lateral sclerosis (ALS),5/5/17,5/5/24,Treatment of amyotrophic lateral sclerosis (ALS),Mitsubishi Tanabe Pharma Corporation,"17-10, Nihonbashi-Koamicho",,Tokyo,,',Japan,478215,For amyotrophic lateral sclerosis (ALS)
edaravone,Radicava ORS,5/12/15,Treatment of amyotrophic lateral sclerosis,Designated/Approved,,,Treatment of amyotrophic lateral sclerosis (ALS),5/12/22,5/12/29,Treatment of amyotrophic lateral sclerosis (ALS),Mitsubishi Tanabe Pharma Corporation,"17-10, Nihonbashi-Koamicho",,Tokyo,,',Japan,478215,For amyotrophic lateral sclerosis (ALS)
efgartigimod alfa and hyaluronidase-qvfc,Vyvgart Hytrulo,7/27/22,Treatment of myasthenia gravis,Designated/Approved,,,treatment of generalized myasthenia gravis (gMG) in adult patients who are anti-acetylcholine receptor (AChR) antibody positive,6/20/23,6/20/30,treatment of generalized myasthenia gravis (gMG) in adult patients who are anti-acetylcholine receptor (AChR) antibody positive,argenx BV,Industriepark Zwijnaarde 7,,Zwijnaarde (Ghent),,9052 ',Belgium,825421,For generalized myasthenia gravis (gMG) in adult patients who are anti-acetylcholine receptor (AChR) antibody positive
efgartigimod alfa and hyaluronidase-qvfc,Vyvgart Hytrulo,11/8/21,Treatment of Chronic Inflammatory Demyelinating Polyneuropathy,Designated/Approved,,,treatment of adult patients with chronic inflammatory demyelinating polyneuropathy (CIDP),6/21/24,6/21/31,treatment of adult patients with chronic inflammatory demyelinating polyneuropathy (CIDP),argenx BV,Industriepark Zwijnaarde 7,,Zwijnaarde,East Flanders,9052 ',Belgium,851421,For adult patients with chronic inflammatory demyelinating polyneuropathy (CIDP)
efgartigimod alfa and hyaluronidase-qvfc,Vyvgart Hytrulo,7/27/22,Treatment of myasthenia gravis,Designated/Approved,,,treatment of adult patients with generalized myasthenia gravis (gMG) who are anti-acetylcholine receptor (AChR) antibody positive,4/10/25,,,argenx BV,Industriepark Zwijnaarde 7,,Zwijnaarde (Ghent),,9052 ',Belgium,825421,For adult patients with generalized myasthenia gravis (gMG) who are anti-acetylcholine receptor (AChR) antibody positive
efgartigimod alfa and hyaluronidase-qvfc),Vyvgart Hytrulo,11/8/21,Treatment of Chronic Inflammatory Demyelinating Polyneuropathy,Designated/Approved,,,treatment of adult patients with chronic inflammatory demyelinating polyneuropathy (CIDP),4/10/25,,,argenx BV,Industriepark Zwijnaarde 7,,Zwijnaarde,East Flanders,9052 ',Belgium,851421,For adult patients with chronic inflammatory demyelinating polyneuropathy (CIDP)
efgartigimod alfa-fcab,Vyvgart,9/20/17,Treatment of myasthenia gravis,Designated/Approved,,,treatment of generalized myasthenia gravis (gMG) in adult patients who are anti-acetylcholine receptor (AChR) antibody positive,12/17/21,12/17/28,treatment of generalized myasthenia gravis (gMG) in adult patients who are anti-acetylcholine receptor (AChR) antibody positive,argenx BV,Industriepark Zwijnaarde 7,,Zwijnaarde,,9052 ',Belgium,527316,For generalized myasthenia gravis (gMG) in adult patients who are anti-acetylcholine receptor (AChR) antibody positive
eflornithine,Iwilfin,11/22/17,Treatment of neuroblastoma,Designated/Approved,,,"to reduce the risk of relapse in adult and pediatric patients with high-risk neuroblastoma (HRNB) who have demonstrated at least a partial response to prior multiagent, multimodality therapy including anti-GD2 immunotherapy",12/13/23,12/13/30,"to reduce the risk of relapse in adult and pediatric patients with high-risk neuroblastoma (HRNB) who have demonstrated at least a partial response to prior multiagent, multimodality therapy including anti-GD2 immunotherapy","USWM, LLC",4441 Springdale Rd,,Louisville,Kentucky,40241 ',United States,613217,"to reduce the risk of relapse in adult and pediatric patients with high-risk neuroblastoma (HRNB) who have demonstrated at least a partial response to prior multiagent, multimodality therapy including anti-GD2 immunotherapy"
Eflornithine HCl,Ornidyl,4/23/86,Treatment of Trypanosoma brucei gambiense infection (sleeping sickness).,Designated/Approved,,,,11/28/90,11/28/97,,Hoechst Marion Roussel,P.O. Box 9627,,Kansas City,Missouri,64134 ',United States,13586,
eladocagene exuparvovec-tneq,Kebilidi,6/8/16,treatment of aromatic L-amino acid decarboxylase deficiency,Designated/Approved,,,treatment of adult and pediatric patients with aromatic L-amino acid decarboxylase (AADC) deficiency,11/13/24,11/13/31,treatment of adult and pediatric patients with aromatic L-amino acid decarboxylase (AADC) deficiency,"PTC Therapeutics, Inc.",500 Warren Corporate Center Drive,,Warren,New Jersey,07059 ',United States,526916,For adult and pediatric patients with aromatic L-amino acid decarboxylase (AADC) deficiency
